bairro,classificacao_grupo,classificacao_cnae,quantidade,Total_de_pessoas_2022,densidade_por_10k
ZUMBI,In natura,Açougues / Padarias,3,1817,22.0143
ZUMBI,In natura,Hortifrutigranjeiros,1,1817,22.0143
ZUMBI,Misto,Mercearias,1,1817,5.5036
ZUMBI,Ultraprocessado,Cantinas / Alimentação preparada,10,1817,170.6109
ZUMBI,Ultraprocessado,Lojas de conveniência / Varejo alimentar,2,1817,170.6109
ZUMBI,Ultraprocessado,Restaurantes / Lanchonetes,15,1817,170.6109
ZUMBI,Ultraprocessado,Serviços ambulantes,4,1817,170.6109
ZONA PORTUARIA,Ultraprocessado,Restaurantes / Lanchonetes,1,,
VL ISABEL,Ultraprocessado,Restaurantes / Lanchonetes,1,65790,117.0391
VISTA ALEGRE,In natura,Açougues / Padarias,16,7059,42.4989
VISTA ALEGRE,In natura,Hortifrutigranjeiros,10,7059,42.4989
VISTA ALEGRE,In natura,Peixarias,4,7059,42.4989
VISTA ALEGRE,Misto,Hipermercados,3,7059,18.4162
VISTA ALEGRE,Misto,Mercearias,8,7059,18.4162
VISTA ALEGRE,Misto,Supermercados,2,7059,18.4162
VISTA ALEGRE,Ultraprocessado,Cantinas / Alimentação preparada,58,7059,284.7429
VISTA ALEGRE,Ultraprocessado,Lojas de conveniência / Varejo alimentar,17,7059,284.7429
VISTA ALEGRE,Ultraprocessado,Restaurantes / Lanchonetes,107,7059,284.7429
VISTA ALEGRE,Ultraprocessado,Serviços ambulantes,19,7059,284.7429
VILADDA PENHA,Misto,Mercearias,1,,
VILA VALQUEIRE,In natura,Açougues / Padarias,36,34024,18.2224
VILA VALQUEIRE,In natura,Hortifrutigranjeiros,16,34024,18.2224
VILA VALQUEIRE,In natura,Peixarias,9,34024,18.2224
VILA VALQUEIRE,Misto,Hipermercados,10,34024,14.4016
VILA VALQUEIRE,Misto,Mercearias,37,34024,14.4016
VILA VALQUEIRE,Misto,Supermercados,2,34024,14.4016
VILA VALQUEIRE,Ultraprocessado,Cantinas / Alimentação preparada,173,34024,142.8403
VILA VALQUEIRE,Ultraprocessado,Lojas de conveniência / Varejo alimentar,30,34024,142.8403
VILA VALQUEIRE,Ultraprocessado,Restaurantes / Lanchonetes,228,34024,142.8403
VILA VALQUEIRE,Ultraprocessado,Serviços ambulantes,54,34024,142.8403
VILA MILITAR/DEODORO,Ultraprocessado,Cantinas / Alimentação preparada,1,,
VILA MILITAR,In natura,Açougues / Padarias,4,12956,6.1747
VILA MILITAR,In natura,Hortifrutigranjeiros,3,12956,6.1747
VILA MILITAR,In natura,Peixarias,1,12956,6.1747
VILA MILITAR,Misto,Mercearias,4,12956,3.0874
VILA MILITAR,Ultraprocessado,Cantinas / Alimentação preparada,24,12956,35.5048
VILA MILITAR,Ultraprocessado,Lojas de conveniência / Varejo alimentar,3,12956,35.5048
VILA MILITAR,Ultraprocessado,Restaurantes / Lanchonetes,14,12956,35.5048
VILA MILITAR,Ultraprocessado,Serviços ambulantes,5,12956,35.5048
VILA KOSMOS,In natura,Açougues / Padarias,12,14878,13.4427
VILA KOSMOS,In natura,Hortifrutigranjeiros,4,14878,13.4427
VILA KOSMOS,In natura,Peixarias,4,14878,13.4427
VILA KOSMOS,Misto,Hipermercados,4,14878,14.1148
VILA KOSMOS,Misto,Mercearias,17,14878,14.1148
VILA KOSMOS,Ultraprocessado,Cantinas / Alimentação preparada,68,14878,104.1807
VILA KOSMOS,Ultraprocessado,Lojas de conveniência / Varejo alimentar,10,14878,104.1807
VILA KOSMOS,Ultraprocessado,Restaurantes / Lanchonetes,61,14878,104.1807
VILA KOSMOS,Ultraprocessado,Serviços ambulantes,16,14878,104.1807
VILA KENNEDY-BANGU,Ultraprocessado,Lojas de conveniência / Varejo alimentar,1,,
