bairro,classificacao_grupo,classificacao_cnae,quantidade,Total_de_pessoas_2022,densidade_por_10k
     BARRA DA TIJUCA,Ultraprocessado,Restaurantes / Lanchonetes,2,142263.0,0.14
 BENFICA,Ultraprocessado,Lojas de conveniência / Varejo alimentar,1,21388.0,0.47
 DEL CASTILHO,Ultraprocessado,Restaurantes / Lanchonetes,1,20597.0,0.49
ABOLICAO,In natura,Açougues / Padarias,9,9196.0,9.79
ABOLICAO,In natura,Hortifrutigranjeiros,3,9196.0,3.26
ABOLICAO,Misto,Hipermercados,6,9196.0,6.52
ABOLICAO,Misto,Mercearias,6,9196.0,6.52
ABOLICAO,Misto,Supermercados,1,9196.0,1.09
ABOLICAO,Ultraprocessado,Cantinas / Alimentação preparada,56,9196.0,60.9
ABOLICAO,Ultraprocessado,Lojas de conveniência / Varejo alimentar,13,9196.0,14.14
ABOLICAO,Ultraprocessado,Restaurantes / Lanchonetes,50,9196.0,54.37
ABOLICAO,Ultraprocessado,Serviços ambulantes,12,9196.0,13.05
ACARI,In natura,Açougues / Padarias,23,29673.0,7.75
ACARI,In natura,Hortifrutigranjeiros,17,29673.0,5.73
ACARI,In natura,Peixarias,8,29673.0,2.7
ACARI,Misto,Hipermercados,7,29673.0,2.36
ACARI,Misto,Mercearias,42,29673.0,14.15
ACARI,Ultraprocessado,Cantinas / Alimentação preparada,64,29673.0,21.57
ACARI,Ultraprocessado,Lojas de conveniência / Varejo alimentar,14,29673.0,4.72
ACARI,Ultraprocessado,Restaurantes / Lanchonetes,68,29673.0,22.92
ACARI,Ultraprocessado,Serviços ambulantes,38,29673.0,12.81
AGUA SANTA,In natura,Açougues / Padarias,3,6419.0,4.67
AGUA SANTA,In natura,Hortifrutigranjeiros,1,6419.0,1.56
AGUA SANTA,Misto,Hipermercados,1,6419.0,1.56
AGUA SANTA,Misto,Mercearias,9,6419.0,14.02
AGUA SANTA,Misto,Supermercados,2,6419.0,3.12
AGUA SANTA,Ultraprocessado,Cantinas / Alimentação preparada,25,6419.0,38.95
AGUA SANTA,Ultraprocessado,Lojas de conveniência / Varejo alimentar,3,6419.0,4.67
AGUA SANTA,Ultraprocessado,Restaurantes / Lanchonetes,18,6419.0,28.04
AGUA SANTA,Ultraprocessado,Serviços ambulantes,6,6419.0,9.35
ALTO DA BOA VISTA,In natura,Açougues / Padarias,7,9831.0,7.12
ALTO DA BOA VISTA,In natura,Hortifrutigranjeiros,7,9831.0,7.12
ALTO DA BOA VISTA,In natura,Peixarias,1,9831.0,1.02
ALTO DA BOA VISTA,Misto,Hipermercados,2,9831.0,2.03
ALTO DA BOA VISTA,Misto,Mercearias,6,9831.0,6.1
ALTO DA BOA VISTA,Misto,Supermercados,1,9831.0,1.02
ALTO DA BOA VISTA,Ultraprocessado,Cantinas / Alimentação preparada,58,9831.0,59.0
ALTO DA BOA VISTA,Ultraprocessado,Lojas de conveniência / Varejo alimentar,8,9831.0,8.14
ALTO DA BOA VISTA,Ultraprocessado,Restaurantes / Lanchonetes,38,9831.0,38.65
ALTO DA BOA VISTA,Ultraprocessado,Serviços ambulantes,13,9831.0,13.22
ANCHIETA,In natura,Açougues / Padarias,53,52095.0,10.17
ANCHIETA,In natura,Hortifrutigranjeiros,29,52095.0,5.57
ANCHIETA,In natura,Peixarias,11,52095.0,2.11
ANCHIETA,Misto,Hipermercados,9,52095.0,1.73
ANCHIETA,Misto,Mercearias,74,52095.0,14.2
ANCHIETA,Misto,Supermercados,4,52095.0,0.77
ANCHIETA,Ultraprocessado,Cantinas / Alimentação preparada,253,52095.0,48.57
ANCHIETA,Ultraprocessado,Lojas de conveniência / Varejo alimentar,33,52095.0,6.33
ANCHIETA,Ultraprocessado,Restaurantes / Lanchonetes,268,52095.0,51.44
ANCHIETA,Ultraprocessado,Serviços ambulantes,77,52095.0,14.78
ANDARAI,In natura,Açougues / Padarias,31,34576.0,8.97
ANDARAI,In natura,Hortifrutigranjeiros,10,34576.0,2.89
ANDARAI,In natura,Peixarias,5,34576.0,1.45
ANDARAI,Misto,Hipermercados,10,34576.0,2.89
ANDARAI,Misto,Mercearias,23,34576.0,6.65
ANDARAI,Misto,Supermercados,1,34576.0,0.29
