bairro,classificacao_grupo,classificacao_cnae,quantidade,Total_de_pessoas_2022,densidade_por_10k,percentil_densidade,label_densidade
     BARRA DA TIJUCA,Ultraprocessado,Restaurantes / Lanchonetes,2,142263.0,0.14,0.0,Muito Baixa
 BENFICA,Ultraprocessado,Lojas de conveniência / Varejo alimentar,1,21388.0,0.47,0.02,Muito Baixa
 DEL CASTILHO,Ultraprocessado,Restaurantes / Lanchonetes,1,20597.0,0.49,0.02,Muito Baixa
ABOLICAO,In natura,Açougues / Padarias,9,9196.0,9.79,0.51,Média
ABOLICAO,In natura,Hortifrutigranjeiros,3,9196.0,3.26,0.24,Baixa
ABOLICAO,Misto,Hipermercados,6,9196.0,6.52,0.4,Baixa
ABOLICAO,Misto,Mercearias,6,9196.0,6.52,0.4,Baixa
ABOLICAO,Misto,Supermercados,1,9196.0,1.09,0.08,Muito Baixa
ABOLICAO,Ultraprocessado,Cantinas / Alimentação preparada,56,9196.0,60.9,0.92,Muito Alta
ABOLICAO,Ultraprocessado,Lojas de conveniência / Varejo alimentar,13,9196.0,14.14,0.65,Alta
ABOLICAO,Ultraprocessado,Restaurantes / Lanchonetes,50,9196.0,54.37,0.9,Muito Alta
ABOLICAO,Ultraprocessado,Serviços ambulantes,12,9196.0,13.05,0.62,Alta
ACARI,In natura,Açougues / Padarias,23,29673.0,7.75,0.44,Média
ACARI,In natura,Hortifrutigranjeiros,17,29673.0,5.73,0.37,Baixa
ACARI,In natura,Peixarias,8,29673.0,2.7,0.2,Baixa
ACARI,Misto,Cozinha,1,0.0,0.0,0.0,0
ACARI,Misto,Hipermercados,7,29673.0,2.36,0.18,Muito Baixa
ACARI,Misto,Mercearias,42,29673.0,14.15,0.65,Alta
ACARI,Ultraprocessado,Cantinas / Alimentação preparada,64,29673.0,21.57,0.75,Alta
ACARI,Ultraprocessado,Lojas de conveniência / Varejo alimentar,14,29673.0,4.72,0.32,Baixa
ACARI,Ultraprocessado,Restaurantes / Lanchonetes,68,29673.0,22.92,0.76,Alta
ACARI,Ultraprocessado,Serviços ambulantes,38,29673.0,12.81,0.61,Alta
AGUA SANTA,In natura,Açougues / Padarias,3,6419.0,4.67,0.31,Baixa
AGUA SANTA,In natura,Hortifrutigranjeiros,1,6419.0,1.56,0.11,Muito Baixa
AGUA SANTA,Misto,Hipermercados,1,6419.0,1.56,0.11,Muito Baixa
AGUA SANTA,Misto,Mercearias,9,6419.0,14.02,0.65,Alta
AGUA SANTA,Misto,Supermercados,2,6419.0,3.12,0.24,Baixa
AGUA SANTA,Ultraprocessado,Cantinas / Alimentação preparada,25,6419.0,38.95,0.83,Muito Alta
AGUA SANTA,Ultraprocessado,Lojas de conveniência / Varejo alimentar,3,6419.0,4.67,0.31,Baixa
AGUA SANTA,Ultraprocessado,Restaurantes / Lanchonetes,18,6419.0,28.04,0.79,Alta
AGUA SANTA,Ultraprocessado,Serviços ambulantes,6,6419.0,9.35,0.49,Média
ALTO DA BOA VISTA,In natura,Açougues / Padarias,7,9831.0,7.12,0.42,Média
ALTO DA BOA VISTA,In natura,Hortifrutigranjeiros,7,9831.0,7.12,0.42,Média
ALTO DA BOA VISTA,In natura,Peixarias,1,9831.0,1.02,0.07,Muito Baixa
ALTO DA BOA VISTA,Misto,Hipermercados,2,9831.0,2.03,0.15,Muito Baixa
ALTO DA BOA VISTA,Misto,Mercearias,6,9831.0,6.1,0.38,Baixa
ALTO DA BOA VISTA,Misto,Supermercados,1,9831.0,1.02,0.07,Muito Baixa
ALTO DA BOA VISTA,Ultraprocessado,Cantinas / Alimentação preparada,58,9831.0,59.0,0.92,Muito Alta
ALTO DA BOA VISTA,Ultraprocessado,Lojas de conveniência / Varejo alimentar,8,9831.0,8.14,0.45,Média
ALTO DA BOA VISTA,Ultraprocessado,Restaurantes / Lanchonetes,38,9831.0,38.65,0.83,Muito Alta
ALTO DA BOA VISTA,Ultraprocessado,Serviços ambulantes,13,9831.0,13.22,0.63,Alta
ANCHIETA,In natura,Açougues / Padarias,53,52095.0,10.17,0.52,Média
ANCHIETA,In natura,Horta,1,0.0,0.0,0.0,0
ANCHIETA,In natura,Hortifrutigranjeiros,29,52095.0,5.57,0.36,Baixa
ANCHIETA,In natura,Peixarias,11,52095.0,2.11,0.16,Muito Baixa
ANCHIETA,Misto,Cozinha,2,0.0,0.0,0.0,0
ANCHIETA,Misto,Hipermercados,9,52095.0,1.73,0.12,Muito Baixa
ANCHIETA,Misto,Mercearias,74,52095.0,14.2,0.65,Alta
ANCHIETA,Misto,Supermercados,4,52095.0,0.77,0.04,Muito Baixa
ANCHIETA,Ultraprocessado,Cantinas / Alimentação preparada,253,52095.0,48.57,0.87,Muito Alta
ANCHIETA,Ultraprocessado,Lojas de conveniência / Varejo alimentar,33,52095.0,6.33,0.39,Baixa
ANCHIETA,Ultraprocessado,Restaurantes / Lanchonetes,268,52095.0,51.44,0.88,Muito Alta
ANCHIETA,Ultraprocessado,Serviços ambulantes,77,52095.0,14.78,0.67,Alta
ANDARAI,In natura,Açougues / Padarias,31,34576.0,8.97,0.48,Média
ANDARAI,In natura,Feira,2,0.0,0.0,0.0,0
