Codigo_CNAE,Subclasse,Ate_9,De_10_a_49,_50_ou_mais,Total
47.11-3/01,Hipermercados,4502,451,925,5878
47.11-3/02,Supermercados,19785,9403,6425,35613
47.12-1/00,"Minimercados, Mercearias e Armazéns",172704,8335,507,181546
47.21-1/02,Padarias e Confeitarias,36026,7516,315,43857
47.21-1/03,Varejistas de Laticínios e Frios,7202,404,20,7626
47.21-1/04,"Varejistas de Doces, Balas, Bombons e Semelhantes",17806,868,28,18702
47.22-9/01,Açougues,28722,1566,51,30339
47.22-9/02,Peixarias,3590,111,8,3709
47.24-5/00,Varejistas de Hortifrutigranjeiros,18533,1314,125,19972
47.29-6/02,Lojas de Conveniência,1932,96,1,2029
47.29-6/99,Varejistas de Produtos Alimentícios em Geral,45705,2698,191,48594
56.11-2/01,Restaurantes e Similares,98289,22088,1112,121489
56.11-2/02,Bares e Similares,35793,1577,51,37421
56.11-2/03,"Lanchonetes, Casas de Chá, de Sucos e Similares",123294,10809,684,134787
56.12-1/00,Serviços Ambulantes de Alimentação,7035,144,2,7181
56.20-1/03,Cantinas - Serviços de Alimentação Privativos,3090,201,22,3313
56.20-1/04,Fornecimento de Alimentos Preparados para Consumo Domiciliar,13381,626,15,14022
TOTAL,Total,637389,68207,10482,716078
