Subclasse,Norte_N,Norte_pct,Nordeste_N,Nordeste_pct,Sudeste_N,Sudeste_pct,Sul_N,Sul_pct,CentroOeste_N,CentroOeste_pct,Brasil_N,Brasil_pct
CNAE 2.0,11557,39.6,61440,43.1,60051,17.4,35809,25.2,12689,22.1,181546,25
"Restaurantes e Similares 4.319 14,8% 20.977 14,7% 58.689 17,0% 26.240 18,4% 11.264 19,6% 121.489 17%",2010,6.9,8012,5.6,23600,6.9,10297,7.2,4675,8.1,48594,7
Padarias e Confeitarias,1531,5.2,6650,4.7,23380,6.8,8682,6.1,3614,6.3,43857,6
Bares e Simlares,529,1.8,3300,2.3,22978,6.7,8317,5.8,2297,4.0,37421,5
Supermercados,2515,8.6,5910,4.1,14101,4.1,8301,5.8,4786,8.3,35613,5
"Açougues 1.214 4,2% 4.951 3,5% 17.010 4,9% 4.259 3,0% 2.905 5,1% 30.339 4%",487,1.7,3823,2.7,11233,3.3,3105,2.2,1324,2.3,19972,3
Hipermercados,390,1.3,2067,1.4,1890,.5,1017,.7,514,.9,5878,1
"Peixarias 200 ,7% 953 ,7% 1.618 ,5% 660 ,5% 278 ,5% 3.709 1%",95,.3,336,.2,2209,.6,478,.3,195,.3,3313,0.5
Lojas de Conveniência,195,.7,595,.4,615,.2,332,.2,292,.5,2029,0.3
Total,29177,100.0,142619,100.0,344464,100.0,142304,100.0,57514,100.0,716078,100
