Subclasse,Pequeno_I,Pequeno_II,Medio,Grande,Metropole,Total
"(até 20.000 II (20.001 a 50.000 (50.001 100.000 (100.001 a 900.000 900.000 Minimercados, Mercearias e Armazéns",42519,39009,25805,49938,24275,181546
TOTAL,12391,15980,14316,51792,40308,134787
Restaurantes e Similares,11274,13997,12186,47453,36579,121489
TOTAL,4457,5962,5137,19187,13851,48594
Padarias e Confeitarias,6232,6376,4745,16855,9649,43857
Bares e Similares,5510,5765,4352,13771,8023,37421
Supermercados,8169,7054,4686,10797,4907,35613
Açougues,5218,5037,3767,10658,5659,30339
Varejistas de Hortifrutigranjeiros,2165,2758,2020,6941,6088,19972
TOTAL,1130,2392,2120,6942,6118,18702
TOTAL,812,1380,1430,6344,4056,14022
Varejistas de Laticínios e Frios,762,1013,901,2946,2004,7626
Serviços Ambulantes de Alimentação,673,1042,860,2779,1827,7181
Hipermercados,1081,967,652,2000,1178,5878
Feiras livres,1078,572,284,1150,1321,4405
Peixarias,309,581,434,1470,915,3709
TOTAL,136,205,280,1417,1275,3313
Lojas de Conveniência,237,313,263,848,368,2029
TOTAL,104153,110403,84238,253288,168401,720483
