Local,InNatura_N,InNatura_pct,Processado_N,Processado_pct,Ultraprocessado_N,Ultraprocessado_pct,PreparacaoCulinaria_N,PreparacaoCulinaria_pct,OleosGordurasSalAcucar_N,OleosGordurasSalAcucar_pct,SemClassificacao_N,SemClassificacao_pct,Total_N,Total_pct
MERCEARIA,29221612.0,46.5,8994099.0,14.3,18164206.0,28.9,586601.0,.9,5336631.0,8.5,471627.0,.8,62774776,100.0
MERCADO (ARMAZEM),22135197.0,49.0,5247556.0,11.6,13729465.0,30.4,330833.0,.7,3224513.0,7.1,485132.0,1.1,45152697,100.0
,19702512.0,51.1,4468612.0,11.6,10618557.0,27.5,353564.0,.9,3120464.0,8.1,284302.0,.7,38548010,100.0
BODEGA (MERCEARIA),5313570.0,48.0,1506477.0,13.6,2902940.0,26.2,21408.0,2.0,1055299.0,9.5,74440.0,.7,11074133,100.0
ARMAZEM,2566849.0,41.6,1005208.0,16.3,2060375.0,33.4,67642.0,1.1,399761.0,6.5,70575.0,1.1,6170409,100.0
,2012625.0,48.0,498549.0,11.9,1327003.0,31.6,46719.0,1.1,277032.0,6.6,33771.0,.8,4195699,100.0
MERCADO MUNICIPAL,3279381.0,87.5,136365.0,3.6,161095.0,4.3,99879.0,2.7,66077.0,1.8,6445.0,.2,3749242,100.0
MERCADO,633611.0,54.4,157039.0,13.5,285525.0,24.5,14517.0,1.2,64336.0,5.5,10304.0,.9,1165331,100.0
BODEGA (ARMAZEM),144978.0,45.8,26152.0,8.3,88062.0,27.8,11036.0,3.5,45009.0,14.2,1601.0,.5,316838,100.0
MERCADINHO,115206.0,59.8,17441.0,9.1,51804.0,26.9,2005.0,1.0,5431.0,2.8,633.0,.3,192519,100.0
EMPORIO,38431.0,48.8,16432.0,20.9,17542.0,22.3,263.0,.3,4220.0,5.4,1804.0,2.3,78692,100.0
MERCADO ESTADUAL,36515.0,52.2,7915.0,11.3,18283.0,26.1,302.0,.4,6932.0,9.9,,0.0,69948,100.0
BIROSCA,6877.0,27.1,2155.0,8.5,13363.0,52.7,1268.0,5.0,1686.0,6.7,,0.0,25349,100.0
ARMAZEM VAREJISTA,,0.0,6169.0,100.0,,0.0,,0.0,,0.0,,0.0,6169,100.0
,5997.0,100.0,,0.0,,0.0,,0.0,,0.0,,0.0,5997,100.0
,916.0,40.4,,0.0,1348.0,59.6,,0.0,,0.0,,0.0,2264,100.0
