endereco,bairro,dia,horario,ra,cidade,uf,pais,endereco_completo,id,lat,lon,geocode_status,geocode_provider,precision
"LIVRAMENTO DO, RUA",SAUDE,Sexta-Feira,07:00 H ÀS 13:00 H,01-Portuária,Rio de Janeiro,RJ,Brasil,"LIVRAMENTO DO, RUA, SAUDE, Rio de Janeiro, RJ, Brasil",5d34a532f2b8,,,pending,,
"GAL. GURJAO, RUA",CAJU,Domingo,07:00 H ÀS 13:00 H,01-Portuária,Rio de Janeiro,RJ,Brasil,"GAL. GURJAO, RUA, CAJU, Rio de Janeiro, RJ, Brasil",aafaf596cb9b,,,pending,,
"TADEU KOSCIUSKO / CARLOS SAMPAIO, RUA",CENTRO,Sábado,07:00 H ÀS 13:00 H,02-Centro,Rio de Janeiro,RJ,Brasil,"TADEU KOSCIUSKO / CARLOS SAMPAIO, RUA, CENTRO, Rio de Janeiro, RJ, Brasil",bb284518e45a,,,pending,,
"CONDE LAGES, RUA",CENTRO,Quinta-Feira,07:00 H ÀS 13:00 H,02-Centro,Rio de Janeiro,RJ,Brasil,"CONDE LAGES, RUA, CENTRO, Rio de Janeiro, RJ, Brasil",bc572129fbec,,,pending,,
"EMILIA GUIMARAES, RUA",CATUMBI,Segunda-Feira,07:00 H ÀS 13:00 H,03-Rio Comprido,Rio de Janeiro,RJ,Brasil,"EMILIA GUIMARAES, RUA, CATUMBI, Rio de Janeiro, RJ, Brasil",bbedf259b308,,,pending,,
"BARAO DE SERTORIO, RUA",RIO COMPRIDO,Quarta-Feira,07:00 H ÀS 13:00 H,03-Rio Comprido,Rio de Janeiro,RJ,Brasil,"BARAO DE SERTORIO, RUA, RIO COMPRIDO, Rio de Janeiro, RJ, Brasil",5e258c270235,,,pending,,
"COSTA FERRAZ, RUA",RIO COMPRIDO,Sábado,07:00 H ÀS 13:00 H,03-Rio Comprido,Rio de Janeiro,RJ,Brasil,"COSTA FERRAZ, RUA, RIO COMPRIDO, Rio de Janeiro, RJ, Brasil",094b06095300,,,pending,,
"CEL. CASTELO BRANCO, PCA",CIDADE NOVA,Quinta-Feira,07:00 H ÀS 13:00 H,03-Rio Comprido,Rio de Janeiro,RJ,Brasil,"CEL. CASTELO BRANCO, PCA, CIDADE NOVA, Rio de Janeiro, RJ, Brasil",28bb268c8bea,,,pending,,
"SAMPAIO FERRAZ, RUA",ESTACIO,Quarta-Feira,07:00 H ÀS 13:00 H,03-Rio Comprido,Rio de Janeiro,RJ,Brasil,"SAMPAIO FERRAZ, RUA, ESTACIO, Rio de Janeiro, RJ, Brasil",ec00b2808f21,,,pending,,
"GAL ARGOLO, RUA",SAO CRISTOVAO,Quinta-Feira,07:00 H ÀS 13:00 H,07-São Cristóvão,Rio de Janeiro,RJ,Brasil,"GAL ARGOLO, RUA, SAO CRISTOVAO, Rio de Janeiro, RJ, Brasil",dedcbba56718,,,pending,,
"GAL BRUCE, RUA",SAO CRISTOVAO,Domingo,07:00 H ÀS 13:00 H,07-São Cristóvão,Rio de Janeiro,RJ,Brasil,"GAL BRUCE, RUA, SAO CRISTOVAO, Rio de Janeiro, RJ, Brasil",3a377143a833,,,pending,,
RUA TEREZINA,SANTA TERESA,Sexta-Feira,07:00 H ÀS 13:00 H,23-Santa Teresa,Rio de Janeiro,RJ,Brasil,"RUA TEREZINA, SANTA TERESA, Rio de Janeiro, RJ, Brasil",0b3de3a7b367,,,pending,,
"AUGUSTO SEVERO, AV",GLORIA,Domingo,07:00 H ÀS 13:00 H,04-Botafogo,Rio de Janeiro,RJ,Brasil,"AUGUSTO SEVERO, AV, GLORIA, Rio de Janeiro, RJ, Brasil",ad94267fdb64,,,pending,,
"PROF. ORTIZ MONTEIRO, RUA",LARANJEIRAS,Sábado,07:00 H ÀS 13:00 H,04-Botafogo,Rio de Janeiro,RJ,Brasil,"PROF. ORTIZ MONTEIRO, RUA, LARANJEIRAS, Rio de Janeiro, RJ, Brasil",06ecc52e238a,,,pending,,
