id,tipo,nome,endereco,bairro,cidade,uf,pais,endereco_completo,fonte
042b2c54ed31,Horta Urbana (Hortas Cariocas),Parque da Cidade,"Estrada. Santa Marinha, 57 - Gávea, Rio de Janeiro",Gávea,Rio de Janeiro,RJ,Brasil,"Estrada. Santa Marinha, 57 - Gávea, Rio de Janeiro, Gávea, Rio de Janeiro, RJ, Brasil",Dissertação (Anexo A: Localização das hortas)
081878c0e60b,Horta Urbana (Hortas Cariocas),Escola Municipal Ribeiro Couto,"Estrada Urucânia, 936 - Paciência, Rio de Janeiro",Paciência,Rio de Janeiro,RJ,Brasil,"Estrada Urucânia, 936 - Paciência, Rio de Janeiro, Paciência, Rio de Janeiro, RJ, Brasil",Dissertação (Anexo A: Localização das hortas)
1a82b7651354,Horta Urbana (Hortas Cariocas),Serra da Misericórdia,"C. Floridos - Rua Aimoré, 1.023 - Penha, Rio de Janeiro",Penha,Rio de Janeiro,RJ,Brasil,"C. Floridos - Rua Aimoré, 1.023 - Penha, Rio de Janeiro, Penha, Rio de Janeiro, RJ, Brasil",Dissertação (Anexo A: Localização das hortas)
1c2046128851,Horta Urbana (Hortas Cariocas),Escola Municipal Orsina da Fonseca,"Rua São Francisco Xavier, 95 - Tijuca, Rio de Janeiro",Tijuca,Rio de Janeiro,RJ,Brasil,"Rua São Francisco Xavier, 95 - Tijuca, Rio de Janeiro, Tijuca, Rio de Janeiro, RJ, Brasil",Dissertação (Anexo A: Localização das hortas)
214b20311e3a,Horta Urbana (Hortas Cariocas),Caminho do Partido,"Rua Caminho do Partido, 40 - Campo Grande, Rio de Janeiro",Campo Grande,Rio de Janeiro,RJ,Brasil,"Rua Caminho do Partido, 40 - Campo Grande, Rio de Janeiro, Campo Grande, Rio de Janeiro, RJ, Brasil",Dissertação (Anexo A: Localização das hortas)
2582ed8d2d1b,Horta Urbana (Hortas Cariocas),Espaço de Desenvolvimento Infantil Leila Diniz,"Estrada de Curicica, 5038 - Curicica, Rio de Janeiro",Curicica,Rio de Janeiro,RJ,Brasil,"Estrada de Curicica, 5038 - Curicica, Rio de Janeiro, Curicica, Rio de Janeiro, RJ, Brasil",Dissertação (Anexo A: Localização das hortas)
2967ff6ba602,Horta Urbana (Hortas Cariocas),Parque Licurgo (Serrinha),"Rua Licurgo, 900 - Madureira, Rio de Janeiro (Parque Madureira)",Madureira,Rio de Janeiro,RJ,Brasil,"Rua Licurgo, 900 - Madureira, Rio de Janeiro (Parque Madureira), Madureira, Rio de Janeiro, RJ, Brasil",Dissertação (Anexo A: Localização das hortas)
2a95f922938c,Horta Urbana (Hortas Cariocas),Associação Pro Melhor. do Cajueiro,"Rua Pirapora, 195 - Turiaçu, Rio de Janeiro (Portão 3 - Parque Madureira)",Turiaçu,Rio de Janeiro,RJ,Brasil,"Rua Pirapora, 195 - Turiaçu, Rio de Janeiro (Portão 3 - Parque Madureira), Turiaçu, Rio de Janeiro, RJ, Brasil",Dissertação (Anexo A: Localização das hortas)
3248331a915d,Horta Urbana (Hortas Cariocas),Morro da Congonha,"Rua Pedro Alexandrino, 297 - Madureira, Rio de Janeiro (Parque Madureira)",Madureira,Rio de Janeiro,RJ,Brasil,"Rua Pedro Alexandrino, 297 - Madureira, Rio de Janeiro (Parque Madureira), Madureira, Rio de Janeiro, RJ, Brasil",Dissertação (Anexo A: Localização das hortas)
3aae95943c1c,Horta Urbana (Hortas Cariocas),Chácara do Céu,"Estrada da Independência, s/nº - Tijuca, Rio de Janeiro",Tijuca,Rio de Janeiro,RJ,Brasil,"Estrada da Independência, s/nº - Tijuca, Rio de Janeiro, Tijuca, Rio de Janeiro, RJ, Brasil",Dissertação (Anexo A: Localização das hortas)
4023490b712b,Horta Urbana (Hortas Cariocas),Comunidade Palmeirinha,"Rua Lourenço Marques, 103 - Honório Gurgel, Rio de Janeiro (Parque Madureira)",Honório Gurgel,Rio de Janeiro,RJ,Brasil,"Rua Lourenço Marques, 103 - Honório Gurgel, Rio de Janeiro (Parque Madureira), Honório Gurgel, Rio de Janeiro, RJ, Brasil",Dissertação (Anexo A: Localização das hortas)
42dece9de599,Horta Urbana (Hortas Cariocas),Escola Municipal Edmundo Bittencourt,"Rua Lopes Trovão, 287 - São Cristóvão, Rio de Janeiro",São Cristóvão,Rio de Janeiro,RJ,Brasil,"Rua Lopes Trovão, 287 - São Cristóvão, Rio de Janeiro, São Cristóvão, Rio de Janeiro, RJ, Brasil",Dissertação (Anexo A: Localização das hortas)
4df1f5cf19ae,Horta Urbana (Hortas Cariocas),Conjunto Aroldo de Andrade (Village Costa Barros),"Estrada Almirante Santiago Dantas, 170 - Barros Filhos, Rio de Janeiro",Barros Filhos,Rio de Janeiro,RJ,Brasil,"Estrada Almirante Santiago Dantas, 170 - Barros Filhos, Rio de Janeiro, Barros Filhos, Rio de Janeiro, RJ, Brasil",Dissertação (Anexo A: Localização das hortas)
4e3b4bbf5701,Horta Urbana (Hortas Cariocas),Escola Municipal Jorge Gouveia,"Rua Gregório de Matos - Vigário Geral, Rio de Janeiro",Vigário Geral,Rio de Janeiro,RJ,Brasil,"Rua Gregório de Matos - Vigário Geral, Rio de Janeiro, Vigário Geral, Rio de Janeiro, RJ, Brasil",Dissertação (Anexo A: Localização das hortas)
