id_osm,nome,endereco_referencia,latitude,longitude,categoria,fonte
698802731,Farinha Pura,Rua Voluntários da Pátria,-22.9548953,-43.197192,Feira Livre / Mercado Popular,OpenStreetMap
815584031,Supermarket,Endereço não cadastrado,-22.9187615,-43.2322512,Feira Livre / Mercado Popular,OpenStreetMap
1513985518,Feira livre (tuesday) - Feira Hippie (sunday),Endereço não cadastrado,-22.9854272,-43.1984364,Feira Livre / Mercado Popular,OpenStreetMap
2045382824,Polo de Decoração de Vigario Geral,Endereço não cadastrado,-22.8177046,-43.3084826,Feira Livre / Mercado Popular,OpenStreetMap
2261515657,Sacolão,Endereço não cadastrado,-22.8833449,-43.2465652,Feira Livre / Mercado Popular,OpenStreetMap
4055180389,Meracado Cariocão,Endereço não cadastrado,-22.9950546,-43.2699353,Feira Livre / Mercado Popular,OpenStreetMap
4548498255,Leve,Endereço não cadastrado,-22.9711323,-43.1851589,Feira Livre / Mercado Popular,OpenStreetMap
4727957547,Hortifruti Lucas,Endereço não cadastrado,-22.816467,-43.301104,Feira Livre / Mercado Popular,OpenStreetMap
4892505277,Feira Livre às quintas,Endereço não cadastrado,-22.8780456,-43.3476309,Feira Livre / Mercado Popular,OpenStreetMap
4892505278,Feira livre aos sábados,Endereço não cadastrado,-22.8770362,-43.3519918,Feira Livre / Mercado Popular,OpenStreetMap
4980328894,Feira livre,Endereço não cadastrado,-22.8873774,-43.3945811,Feira Livre / Mercado Popular,OpenStreetMap
5084735838,Feira/Mercado Local,Endereço não cadastrado,-22.9017597,-43.2795563,Feira Livre / Mercado Popular,OpenStreetMap
5084741846,Feira Livre,Rua Tadeu Kosciusko,-22.9147262,-43.1884771,Feira Livre / Mercado Popular,OpenStreetMap
5084748289,Feira livre,Rua Conde de Lages,-22.9178627,-43.1775505,Feira Livre / Mercado Popular,OpenStreetMap
5084756054,Feira livre,Avenida Augusto Severo,-22.9167967,-43.1764884,Feira Livre / Mercado Popular,OpenStreetMap
5122557917,Feira/Mercado Local,Endereço não cadastrado,-22.8498929,-43.3085124,Feira Livre / Mercado Popular,OpenStreetMap
5139923206,Santos Mercado,Endereço não cadastrado,-22.9889323,-43.43929,Feira Livre / Mercado Popular,OpenStreetMap
5618098241,Le Marché,Endereço não cadastrado,-22.9057287,-43.2836591,Feira Livre / Mercado Popular,OpenStreetMap
6380897706,Super Mercado,Rua Frederico Lima,-22.8668437,-43.3343293,Feira Livre / Mercado Popular,OpenStreetMap
11004630541,Quitanda,Endereço não cadastrado,-22.9320342,-43.2396696,Feira Livre / Mercado Popular,OpenStreetMap
11125981006,Beto Fruit,Estrada do Tindiba,-22.9288,-43.3643817,Feira Livre / Mercado Popular,OpenStreetMap
11347510390,Hortifruti Freguesia,Estrada de Jacarepaguá,-22.9411975,-43.3423592,Feira Livre / Mercado Popular,OpenStreetMap
12078949158,Mercadinho Estrela Ana,Endereço não cadastrado,-22.8357189,-43.3431721,Feira Livre / Mercado Popular,OpenStreetMap
12444349271,Feira/Mercado Local,Endereço não cadastrado,-22.8537136,-43.3131434,Feira Livre / Mercado Popular,OpenStreetMap
12444349272,Feira/Mercado Local,Endereço não cadastrado,-22.8538582,-43.3130013,Feira Livre / Mercado Popular,OpenStreetMap
12444349273,Feira/Mercado Local,Endereço não cadastrado,-22.8534256,-43.313354,Feira Livre / Mercado Popular,OpenStreetMap
12444349274,Feira/Mercado Local,Endereço não cadastrado,-22.8534726,-43.3133956,Feira Livre / Mercado Popular,OpenStreetMap
12444349275,Feira/Mercado Local,Endereço não cadastrado,-22.8535233,-43.3133902,Feira Livre / Mercado Popular,OpenStreetMap
12444349276,Feira/Mercado Local,Endereço não cadastrado,-22.8535838,-43.3133687,Feira Livre / Mercado Popular,OpenStreetMap
12444349277,Feira/Mercado Local,Endereço não cadastrado,-22.8536172,-43.3133392,Feira Livre / Mercado Popular,OpenStreetMap
12444349278,Feira/Mercado Local,Endereço não cadastrado,-22.8538248,-43.3131448,Feira Livre / Mercado Popular,OpenStreetMap
12444349279,Feira/Mercado Local,Endereço não cadastrado,-22.8539348,-43.3132387,Feira Livre / Mercado Popular,OpenStreetMap
12444349280,Feira/Mercado Local,Endereço não cadastrado,-22.853962,-43.3134291,Feira Livre / Mercado Popular,OpenStreetMap
12957988885,Prime Fruit,Rua do Matoso,-22.9129317,-43.2132962,Feira Livre / Mercado Popular,OpenStreetMap
476115616,Feira/Mercado Local,Endereço não cadastrado,-23.0121979,-43.3175303,Feira Livre / Mercado Popular,OpenStreetMap
545974833,Feira/Mercado Local,Endereço não cadastrado,-22.9047079,-43.2432534,Feira Livre / Mercado Popular,OpenStreetMap
548618802,Feira/Mercado Local,Endereço não cadastrado,-23.0137605,-43.5421986,Feira Livre / Mercado Popular,OpenStreetMap
548698479,Rede Super Compras,Endereço não cadastrado,-22.9377169,-43.6585239,Feira Livre / Mercado Popular,OpenStreetMap
548723943,Rede Super compras,Endereço não cadastrado,-22.9364176,-43.6548835,Feira Livre / Mercado Popular,OpenStreetMap
548723952,Rede Super compras,Endereço não cadastrado,-22.9334302,-43.6633194,Feira Livre / Mercado Popular,OpenStreetMap
552615351,Mercado do Joziel,Rua Marina,-22.8725954,-43.3716245,Feira Livre / Mercado Popular,OpenStreetMap
629111427,Mercado São Brás,Rua Coronel Agostinho,-22.9036092,-43.5599216,Feira Livre / Mercado Popular,OpenStreetMap
718035666,Feira/Mercado Local,Endereço não cadastrado,-22.9319695,-43.1778531,Feira Livre / Mercado Popular,OpenStreetMap
832060769,Feira Marques de Queluz,Rua Marquês de Queluz,-22.8433105,-43.3252076,Feira Livre / Mercado Popular,OpenStreetMap
1105800494,"Feira do Parque União (Frutas, verduras e etc...)",Endereço não cadastrado,-22.851689,-43.2456223,Feira Livre / Mercado Popular,OpenStreetMap
1105806189,Feira da Teixeira (Sábados),Endereço não cadastrado,-22.8560436,-43.2448547,Feira Livre / Mercado Popular,OpenStreetMap
1198496927,Fuxico,Endereço não cadastrado,-22.9836534,-43.2057559,Feira Livre / Mercado Popular,OpenStreetMap
